2018-08-18 00:37:46,871 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 6932]
2018-08-18 00:37:46,872 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 6933]
2018-08-18 00:37:46,872 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 6934]
2018-08-18 00:37:46,872 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 6935]
2018-08-18 00:37:46,872 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 6936]
2018-08-18 00:37:51,876 websocket [reactor-tcp-io-3] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@500be380. Attempting reconnect in 5000ms.
2018-08-18 00:37:56,854 websocket [reactor-tcp-io-4] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@4f824983. Attempting reconnect in 5000ms.
2018-08-18 00:38:01,851 websocket [reactor-tcp-io-1] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@48d4d49b. Attempting reconnect in 5000ms.
2018-08-18 00:38:06,853 websocket [reactor-tcp-io-2] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@6a23a7fc. Attempting reconnect in 5000ms.
2018-08-18 00:38:11,851 websocket [reactor-tcp-io-3] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@54533b47. Attempting reconnect in 5000ms.
2018-08-18 00:38:16,853 websocket [reactor-tcp-io-4] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@c5df9fc. Attempting reconnect in 5000ms.
2018-08-18 00:38:21,851 websocket [reactor-tcp-io-1] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@46bf3d65. Attempting reconnect in 5000ms.
2018-08-18 00:38:26,853 websocket [reactor-tcp-io-2] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@4e697fd7. Attempting reconnect in 5000ms.
2018-08-18 00:38:31,851 websocket [reactor-tcp-io-3] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@afb3c75. Attempting reconnect in 5000ms.
2018-08-18 00:38:36,851 websocket [reactor-tcp-io-4] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@31ef970d. Attempting reconnect in 5000ms.
2018-08-18 00:38:41,852 websocket [reactor-tcp-io-1] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@71ba0623. Attempting reconnect in 5000ms.
